Epoch,G Loss,D Loss,Validation Loss
1,17.62760345141093,1.6630952805280685,17.292626244681223
2,14.057698170344034,1.686721737186114,15.075122560773577
3,12.874595204989115,1.6932080139716466,14.992162840706962
4,12.477535804112753,1.6658135801553726,13.715865952627999
5,11.63094131151835,1.7387855897347133,13.151767594473702
6,11.48113743464152,1.7703408747911453,12.683411734444755
7,11.116631348927816,1.7426553418238957,13.057496207101005
8,10.792786320050558,1.7502511044343312,13.742093903677803
9,11.191384593645731,1.7017136613527934,12.766649654933385
10,11.245070656140646,1.671636198957761,11.255686214991979
11,10.23314913113912,1.735323816537857,12.448989459446498
12,10.105445822079977,1.7203547408183415,11.373315402439662
13,10.350765307744345,1.7181129157543182,11.061015946524483
14,9.808470845222473,1.6822449217240016,11.328613553728376
15,9.820090651512146,1.6871204227209091,10.97297831944057
16,9.939513921737671,1.7052814066410065,11.369466781616211
17,9.511750221252441,1.731249103943507,13.331739698137556
18,9.51252301534017,1.6943861494461696,11.939872741699219
19,9.430010398228964,1.7318589091300964,10.665075438363212
20,9.080767353375753,1.7630141228437424,10.81901250566755
21,9.077756325403849,1.758233204483986,9.98927811213902
22,8.905808746814728,1.7424471974372864,9.49311637878418
23,9.122445086638132,1.7694455881913502,11.099857194083077
24,9.106129129727682,1.6933664778868358,10.442536626543317
25,9.25116354227066,1.7182318021853764,10.423819678170341
26,8.821483691533407,1.7275855143864949,10.458773612976074
27,8.677506109078726,1.7549268354972203,14.151154926845006
28,9.904567102591196,1.7149198055267334,10.757581983293806
29,8.773453652858734,1.73732856909434,9.306568690708705
30,9.226988116900126,1.6917925129334133,10.023591450282506
31,9.43511994679769,1.5945793489615123,9.706734384809222
32,8.549435913562775,1.5607642829418182,9.423157283238002
33,8.224365472793579,1.5290874540805817,9.878680774143763
34,8.30319114526113,1.5348139504591625,10.725098064967565
35,8.111118912696838,1.5225735207398732,8.940006801060267
36,7.956420342127482,1.5933981041113536,10.301964896065849
37,8.443710307280222,1.641470452149709,9.280318123953682
38,8.21140859524409,1.5917185992002487,10.285338538033622
39,8.57591599225998,1.6070922414461772,9.710129737854004
40,8.021929403146109,1.5787953585386276,8.859904561723981
41,7.882263958454132,1.5569919248421986,10.438374519348145
42,8.31206508477529,1.5706503639618556,9.706895283290319
43,7.919693032900493,1.5916390319665272,9.080544880458287
44,7.805495063463847,1.5839025576909382,9.565613065447126
45,7.635244011878967,1.6100924362738926,8.773093904767718
46,7.6050504843393965,1.62467160820961,9.693097250802177
47,7.613921205202739,1.6587448020776112,10.182105200631279
48,7.6453114946683245,1.688986803094546,8.788755689348493
49,7.436243653297424,1.6975541512171428,9.242147309439522
50,7.418833613395691,1.6647042135397594,9.999791145324707
51,7.931861519813538,1.613142083088557,9.142536980765206
52,7.728386402130127,1.452337274948756,9.473214830671038
53,7.609779020150502,1.3960290650526683,11.002914156232562
54,7.914686679840088,1.346104736129443,10.249284744262695
55,7.6558489600817365,1.343070810039838,8.759417533874512
56,7.171737293402354,1.441874235868454,10.21641458783831
57,7.615478793780009,1.524938926100731,8.741885321480888
58,7.2512995799382525,1.5459940880537033,9.46846239907401
59,7.280090073744456,1.545755575100581,10.200278554643903
60,7.3808273275693255,1.4043089002370834,9.271653584071569
61,7.118862668673198,1.3624396522839863,9.201725823538643
62,7.0377747019131975,1.3364135225613911,10.451444625854492
63,7.344710727532704,1.319921871026357,11.140983036586217
64,7.2739111383756,1.318294088045756,8.94966629573277
65,7.351063887278239,1.359278842806816,15.615997859409877
66,9.440063496430716,1.282401939233144,9.723875318254743
67,7.552312711874644,1.3559806098540623,10.412107467651367
68,7.459532876809438,1.4628764043251674,8.941781180245536
69,7.619814852873485,1.573751871784528,9.80549567086356
70,7.871121168136597,1.3058032840490341,9.585780007498604
71,7.828608353932698,1.2740166733662288,9.06559235709054
72,6.920241792996724,1.2485628376404445,9.27634082521711
73,6.935727437337239,1.2668625017007191,8.9327620778765
74,6.8829594651858015,1.5309217274188995,11.320469175066266
75,7.2332242131233215,1.6537297169367473,8.802023615155901
76,7.273290852705638,1.6407231589158375,11.102732385907855
77,7.9647247195243835,1.6289935211340587,10.777590070452009
78,7.877563834190369,1.5669240405162175,10.623777389526367
79,7.392141878604889,1.5314549555381138,10.421463285173688
80,7.2439589103062945,1.5332948565483093,8.897683688572474
81,6.787518382072449,1.5245715975761414,8.510436058044434
82,6.921186327934265,1.5319927334785461,10.02260684967041
83,6.819000840187073,1.5355675270160039,8.957586015973773
84,6.567914724349976,1.5264076888561249,8.983743395124163
85,6.532910684744517,1.5273526459932327,8.54618535723005
86,6.405785123507182,1.5438403487205505,8.91791548047747
87,6.417857786019643,1.5381983319918315,8.504985673086983
88,6.714105486869812,1.5713720470666885,14.995545659746442
89,10.101734399795532,1.341832642753919,10.912933077131
90,8.150494734446207,1.3086969653765361,10.719385283333915
91,7.625640074412028,1.2849483738342922,11.922560555594307
92,8.884578943252563,1.2688041031360626,10.04980046408517
93,7.282983203728993,1.2609790762265523,8.708256108420235
94,6.812232216199239,1.2839926828940709,9.10358817236764
95,6.523147026697795,1.354791949192683,9.175587109157018
96,6.687429090340932,1.4360045393308003,9.797140938895089
97,6.850908557573955,1.4311283081769943,9.292962755475726
98,6.5219166080156965,1.49369582037131,8.908292157309395
99,6.84753421942393,1.5097620884577434,9.73323426927839
100,6.999422411123912,1.4255346208810806,9.01379122052874
