Epoch,G Loss,D Loss,Validation Loss
1,7.722034936215444,1.4254068441315502,6.792853689905423
2,6.738969459382714,1.5043095457207873,6.806056841095882
3,6.435986292393666,1.7617248413116133,6.600069914291154
4,6.27305075612735,1.7069244252660343,6.16581210805409
5,6.227421927892438,1.5554606260284585,6.245157391277711
6,6.049928210970594,1.5266266652336222,6.213242566407616
7,5.933254936439695,1.5266020307440242,5.853491491346217
8,5.915686169526193,1.5667686978242013,5.747477253871177
9,5.802535891218362,1.5092144188591547,5.888781803757397
10,5.720813012689273,1.4603709114572934,5.758228835774891
11,5.687893557359801,1.4577538734375644,5.679346874578675
12,5.585923598749971,1.4159815673148726,5.651988883516681
13,5.541395221347859,1.4071470008361937,5.566205174175661
14,5.554571512821167,1.4069752633414356,5.500111117291806
15,5.470942334952643,1.404299565544229,5.421683524971578
16,5.439578598596175,1.403530581645412,5.429029365084064
17,5.370835755934501,1.4021021215770992,5.539899171288334
18,5.342012319841611,1.4010168496411206,5.551376335656465
19,5.310564841318256,1.3994807042672954,5.488260987979262
20,5.299362103354019,1.3980026977986961,5.294792709065907
21,5.264538667447334,1.3966718880670996,5.322926300675122
22,5.211580910594608,1.3961830906628934,5.329355353739724
23,5.180931700251033,1.3953372236921164,5.281735989584852
24,5.168614690725281,1.3947271278476967,5.242409044237279
25,5.122212671038343,1.393744157612481,5.333527258972623
26,5.118474101013748,1.393931479441459,5.323207912160389
27,5.062670778158787,1.392170457538011,5.3368173570775275
28,5.016733363939149,1.3914248172714716,5.331903436290684
29,4.976342378631431,1.3912777844079252,5.2870711995594535
30,4.916970012055852,1.3902090602311106,5.248768578714399
31,4.849275358748625,1.3897989013264236,5.282768833103464
32,4.808215253900412,1.3887045150696444,5.414646291021091
33,4.757098321864347,1.3872047008499306,5.385851048711521
34,4.70735152038232,1.3863089210439798,5.301334722718196
35,4.643602349198273,1.3869579058523858,5.369701428199882
