Epoch,G Loss,D Loss,Validation Loss
1,8.873930289965717,1.0974886140235667,8.249087026384142
2,8.21519483438059,0.9192891012386781,8.134299495485093
3,8.133107957385835,0.7281275673740718,7.98217740058899
4,7.957618220513608,0.6902407033770692,7.7937454011705185
5,7.840644419694147,0.6823189545746277,8.681446266174316
6,7.759228053213167,0.6715693425397579,7.554265059365166
7,7.675758078652604,0.6576471842971503,7.646615733040703
8,7.528734666626661,0.6848838696626722,7.50197319454617
9,7.524878306883056,0.6591349746666703,7.8808576371934675
10,7.516315241153834,0.6548875319857558,7.612931622399224
11,7.42180229368664,0.6534707020310795,7.393970886866252
